Designator,Comment,Footprint,LCSC part#
U1,USBLC6-2SC6,TSOT-23-6,C558442
C1,100nF,0603C,C14663
U2,TPS63000,Texas_DRC0010J_ThermalVias,C28060
L1,L,1227AS-H-1R5N=P2,C435389
R2,0R,0603R,C21189
C2,10uF,0603C,C19702
C3,10uF,0603C,C19702
C4,10uF,0603C,C19702
C5,10uF,0603C,C19702
C6,10uF,0603C,C19702
R3,10K,0603R,C25804
R4,10K,0603R,C25804
R5,10K,0603R,C25804
R6,10K,0603R,C25804
R7,10K,0603R,C25804
R8,10K,0603R,C25804
R9,10K,0603R,C25804
R10,10K,0603R,C25804
R11,10K,0603R,C25804
R12,10K,0603R,C25804
R13,10K,0603R,C25804
R14,10K,0603R,C25804
R15,10K,0603R,C25804
R16,10K,0603R,C25804
R17,10K,0603R,C25804
R18,10K,0603R,C25804
R19,10K,0603R,C25804
R20,10K,0603R,C25804
U3,74HC32,TSSOP14,C6087
C7,100nF,0603C,C14663
U4,STM32F405RGTx,LQFP-64_10x10mm_P0.5mm,C15742
Y1,Crystal,Crystal_SMD_5032-2Pin_5.0x3.2mm_HandSoldering,C115962
C8,100nF,0603C,C14663
C9,100nF,0603C,C14663
C10,100nF,0603C,C14663
C11,100nF,0603C,C14663
C12,4.7uF,0805C,C1779
C13,2.2uF,0805C,C49217
C14,2.2uF,0805C,C49217
R21,10K,0603R,C25804
C15,100nF,0603C,C14663
C16,30pF,0603C,C22397
R22,0R,0603R,C21189
C17,30pF,0603C,C22397
R23,10K,0603R,C25804
R24,100K,0603R,C25803
R25,330R,0603R,C23138
R26,330R,0603R,C23138
R27,10K,0603R,C25804
C18,10K,0603C,C25804
C19,10K,0603C,C25804
U5,74LVC07,TSSOP14,C6051
C20,100nF,0603C,C14663
U6,74LVC07,TSSOP14,C6051
C21,100nF,0603C,C14663
U7,74LVC07,TSSOP14,C6051
C22,100nF,0603C,C14663
U8,USBPowerSwitch,SOT23-5,C351147
C23,1uF,0805C,C28323
C24,100nF,0603C,C14663
R28,10K,0603R,C25804
R29,10K,0603R,C25804
U9,16F18855,SSOP-28_5.3x10.2mm_P0.65mm,C510915
C25,100nF,0603C,C14663
R30,330R,0603R,C23138
R31,330R,0603R,C23138
Q1,Q_NMOS_DGS,SOT23,C520561
R32,100R,0603R,C22775
R33,12K5,0603R,C22797
R34,10K,0603R,C23138
U10,SN74CBT3253,TSSOP16,C424399
C26,100nF,0603C,C14663
R35,10K,0603R,C25804
R36,10K,0603R,C25804
U11,74HC4066,TSSOP14,C5350
C27,100nF,0603C,C14663
R37,4K7,0603R,C23162
R38,3K6,0603R,C22980
R39,3K6,0603R,C22980
R40,4K7,0603R,C23162
