Designator,Mid X,Mid Y,Layer,Rotation
U1,236.829600,-57.937400,bottom,450.0
C1,230.886000,-33.274000,bottom,90.0
U2,275.300440,-48.493680,bottom,270.0
L1,279.745440,-48.392080,bottom,90.0
R2,271.322800,-47.498000,bottom,0.0
C2,275.960840,-51.643280,bottom,180.0
C3,275.960840,-53.726080,bottom,180.0
C4,275.910040,-41.178480,bottom,180.0
C5,275.910040,-45.166280,bottom,180.0
C6,275.910040,-43.185080,bottom,180.0
R3,264.210165,9.342120,bottom,0.0
R4,259.270500,9.398000,bottom,0.0
R5,274.193000,9.334500,bottom,0.0
R6,269.240000,9.398000,bottom,0.0
R7,291.782500,-12.446000,bottom,90.0
R8,291.782500,-7.429500,bottom,90.0
R9,291.782500,2.540000,bottom,90.0
R10,291.782500,7.556500,bottom,90.0
R11,291.782500,-22.479000,bottom,90.0
R12,291.782500,-17.462500,bottom,90.0
R13,291.782500,-27.432000,bottom,90.0
R14,291.782500,-32.448500,bottom,90.0
R15,279.209500,9.334500,bottom,0.0
R16,291.782500,-2.413000,bottom,90.0
R17,239.204500,9.334500,bottom,0.0
R18,244.221000,9.398000,bottom,0.0
R19,249.237500,9.334500,bottom,0.0
R20,254.254000,9.334500,bottom,0.0
U3,243.758720,-1.153160,bottom,270.0
C7,275.818600,-0.218440,bottom,180.0
U4,257.632200,-39.370000,bottom,360.0
Y1,251.028200,-26.827480,bottom,90.0
C8,240.141760,-5.140960,bottom,180.0
C9,265.470640,-35.859720,bottom,90.0
C10,251.587000,-45.598080,bottom,180.0
C11,240.080800,3.185160,bottom,180.0
C12,265.663680,-47.919640,bottom,0.0
C13,268.686280,-44.632880,bottom,270.0
C14,252.882400,-48.427640,bottom,180.0
R21,288.734500,-57.658000,bottom,0.0
C15,288.804240,-59.582080,bottom,180.0
C16,247.980200,-28.605480,bottom,90.0
R22,253.936500,-25.019000,bottom,90.0
C17,247.980200,-24.998680,bottom,270.0
R23,270.954500,-44.450000,bottom,90.0
R24,278.320500,-59.436000,bottom,180.0
R25,286.258000,-46.736000,bottom,0.0
R26,286.258000,-50.546000,bottom,0.0
R27,259.588000,-26.276300,bottom,180.0
C18,244.530880,-28.183840,bottom,0.0
C19,244.535960,-26.238200,bottom,180.0
U5,243.804440,-9.347200,bottom,270.0
C20,265.511280,-45.476160,bottom,0.0
U6,279.497801,-4.292481,bottom,270.0
C21,250.494800,-34.091880,bottom,180.0
U7,279.882600,-20.645120,bottom,270.0
C22,276.230080,-16.489680,bottom,180.0
U8,259.232400,-7.233920,bottom,360.0
C23,254.802640,-7.152640,bottom,270.0
C24,262.773160,-7.071360,bottom,270.0
R28,257.111500,-10.096500,bottom,0.0
R29,260.604000,-10.541000,bottom,90.0
U9,240.309400,-38.404800,bottom,270.0
C25,231.800400,-45.720000,bottom,180.0
R30,244.348000,-51.816000,bottom,180.0
R31,231.838500,-47.688500,bottom,0.0
Q1,230.550720,-37.612320,bottom,270.0
R32,233.362500,-37.973000,bottom,270.0
R33,233.362500,-41.338500,bottom,90.0
R34,230.759000,-40.386000,bottom,0.0
U10,255.254760,-54.335680,bottom,180.0
C26,259.262880,-52.181760,bottom,270.0
R35,260.731000,-48.450500,bottom,180.0
R36,260.731000,-46.926500,bottom,180.0
U11,238.099600,-50.215800,bottom,270.0
C27,232.918000,-33.274000,bottom,90.0
R37,244.348000,-48.006000,bottom,180.0
R38,244.348000,-49.974500,bottom,180.0
R39,231.902000,-51.752500,bottom,0.0
R40,231.902000,-49.720500,bottom,0.0
